"Label (Grouping)","Los Angeles County, California!!Total!!Estimate","Los Angeles County, California!!Total!!Margin of Error","Los Angeles County, California!!Percent!!Estimate","Los Angeles County, California!!Percent!!Margin of Error","Los Angeles County, California!!Male!!Estimate","Los Angeles County, California!!Male!!Margin of Error","Los Angeles County, California!!Percent Male!!Estimate","Los Angeles County, California!!Percent Male!!Margin of Error","Los Angeles County, California!!Female!!Estimate","Los Angeles County, California!!Female!!Margin of Error","Los Angeles County, California!!Percent Female!!Estimate","Los Angeles County, California!!Percent Female!!Margin of Error"
"Total population","9,757,179","*****","(X)","(X)","4,826,069","±694","(X)","(X)","4,931,110","±694","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","474,383","±518","4.9%","±0.1","242,402","±644","5.0%","±0.1","231,981","±652","4.7%","±0.1"
"        5 to 9 years","519,577","±9,284","5.3%","±0.1","265,347","±7,324","5.5%","±0.2","254,230","±6,692","5.2%","±0.1"
"        10 to 14 years","583,557","±9,276","6.0%","±0.1","300,403","±7,386","6.2%","±0.2","283,154","±6,691","5.7%","±0.1"
"        15 to 19 years","616,811","±466","6.3%","±0.1","314,759","±474","6.5%","±0.1","302,052","±419","6.1%","±0.1"
"        20 to 24 years","621,805","±717","6.4%","±0.1","313,551","±462","6.5%","±0.1","308,254","±528","6.3%","±0.1"
"        25 to 29 years","709,283","±674","7.3%","±0.1","353,800","±387","7.3%","±0.1","355,483","±532","7.2%","±0.1"
"        30 to 34 years","791,425","±245","8.1%","±0.1","400,744","*****","8.3%","±0.1","390,681","±246","7.9%","±0.1"
"        35 to 39 years","723,823","±13,975","7.4%","±0.1","369,388","±9,252","7.7%","±0.2","354,435","±8,221","7.2%","±0.2"
"        40 to 44 years","685,635","±13,960","7.0%","±0.1","348,997","±9,190","7.2%","±0.2","336,638","±8,217","6.8%","±0.2"
"        45 to 49 years","619,802","±555","6.4%","±0.1","309,278","±457","6.4%","±0.1","310,524","±368","6.3%","±0.1"
"        50 to 54 years","633,625","±663","6.5%","±0.1","315,521","±512","6.5%","±0.1","318,104","±368","6.5%","±0.1"
"        55 to 59 years","602,351","±10,332","6.2%","±0.1","294,971","±7,725","6.1%","±0.2","307,380","±6,014","6.2%","±0.1"
"        60 to 64 years","599,927","±10,332","6.1%","±0.1","298,285","±7,724","6.2%","±0.2","301,642","±6,014","6.1%","±0.1"
"        65 to 69 years","513,461","±7,350","5.3%","±0.1","241,531","±5,566","5.0%","±0.1","271,930","±4,824","5.5%","±0.1"
"        70 to 74 years","397,694","±7,337","4.1%","±0.1","183,907","±5,572","3.8%","±0.1","213,787","±4,823","4.3%","±0.1"
"        75 to 79 years","293,487","±7,556","3.0%","±0.1","127,933","±4,195","2.7%","±0.1","165,554","±5,711","3.4%","±0.1"
"        80 to 84 years","193,305","±6,156","2.0%","±0.1","77,756","±3,697","1.6%","±0.1","115,549","±4,879","2.3%","±0.1"
"        85 years and over","177,228","±6,035","1.8%","±0.1","67,496","±3,322","1.4%","±0.1","109,732","±4,730","2.2%","±0.1"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","1,103,134","±517","11.3%","±0.1","565,750","±518","11.7%","±0.1","537,384","*****","10.9%","±0.1"
"        15 to 17 years","367,427","*****","3.8%","*****","188,707","±386","3.9%","±0.1","178,720","±386","3.6%","±0.1"
"        Under 18 years","1,944,944","*****","19.9%","*****","996,859","±694","20.7%","±0.1","948,085","±694","19.2%","±0.1"
"        18 to 24 years","871,189","±675","8.9%","±0.1","439,603","±388","9.1%","±0.1","431,586","±533","8.8%","±0.1"
"        15 to 44 years","4,148,782","±680","42.5%","±0.1","2,101,239","±784","43.5%","±0.1","2,047,543","±386","41.5%","±0.1"
"        16 years and over","8,062,391","±4,787","82.6%","±0.1","3,958,485","±3,965","82.0%","±0.1","4,103,906","±3,639","83.2%","±0.1"
"        18 years and over","7,812,235","*****","80.1%","*****","3,829,210","*****","79.3%","±0.1","3,983,025","*****","80.8%","±0.1"
"        21 years and over","7,441,206","±6,075","76.3%","±0.1","3,638,447","±4,840","75.4%","±0.1","3,802,759","±3,873","77.1%","±0.1"
"        60 years and over","2,175,102","±10,333","22.3%","±0.1","996,908","±7,725","20.7%","±0.2","1,178,194","±6,015","23.9%","±0.1"
"        62 years and over","1,916,640","±9,375","19.6%","±0.1","868,014","±6,457","18.0%","±0.1","1,048,626","±6,320","21.3%","±0.1"
"        65 years and over","1,575,175","*****","16.1%","*****","698,623","*****","14.5%","±0.1","876,552","*****","17.8%","±0.1"
"        75 years and over","664,020","±387","6.8%","±0.1","273,185","±387","5.7%","±0.1","390,835","*****","7.9%","±0.1"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","38.9","±0.2","(X)","(X)","37.9","±0.2","(X)","(X)","39.8","±0.1","(X)","(X)"
"        Sex ratio (males per 100 females)","97.9","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","56.4","*****","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","25.3","*****","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","31.2","*****","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"